충전소명,충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자
청평면사무소,외부 주차장,경기도,무휴,0:00,12:00,N,Y,,0,1,N,경기도 가평군 청평면 은고개로 19,경기도 가평군 청평면 청평리 333-1,한국자동차 환경협회,02-3473-1221,37.740348,127.424302,2017-11-06
가평군청,외부 주차장,경기도,무휴,0:00,12:00,N,Y,,0,1,N,경기도 가평군 가평읍 석봉로 181,경기도 가평군 가평읍 읍내리 513,한국자동차 환경협회,02-3473-1221,37.831232,127.509552,2017-11-06
가평읍사무소,외부 주차장,경기도,무휴,0:00,12:00,N,Y,,0,1,N,경기도 가평군 가평읍 가화로 62,경기도 가평군 가평읍 읍내리 367,한국자동차 환경협회,02-3473-1221,37.825499,127.516504,2017-11-06
설악면사무소,외부 주차장,경기도,무휴,0:00,12:00,N,Y,,0,1,N,경기도 가평군 설악면 한서로 8,경기도 가평군 설악면 신천리 156-1,한국자동차 환경협회,02-3473-1221,37.676305,127.494779,2017-11-06
두류공원,입구 우측,대구광역시,연중무휴,0:00,0:00,Y,N,,4,0,N,대구광역시 달서구 공원순환로 216,대구광역시 달서구 성당동 195-11,대구환경공단,053-605-8060,35.8445651,128.5623269,2017-11-20
두원현대서비스,경기도 파주시 조리읍 통일로 477-14,경기도,매주 일요일,9:00,18:00,Y,N,AC완속,1,0,N,경기도 파주시 조리읍 통일로 477-14,경기도 파주시 조리읍 등원리 409-13번지,현대자동차,031-948-2121,37.755556,126.801106,2017-11-30
홈플러스 파주문산점,"경기도 파주시 문산읍 방촌로 1759 , 옥상주차장 차량정비소 옆(당동리 880)",경기도,"매월2, 4주 수요일",10:00,22:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,"경기도 파주시 문산읍 방촌로 1759 , 옥상주차장 차량정비소 옆(당동리 880)",경기도 파주시 문산읍 당동리 880번지 옥상주차장 차량정비소 옆,한국자동차환경협회,1661-9408,37.869915,126.785434,2017-11-30
롯데슈퍼 운정점,경기도 파주시 미래로602번길 10 3F(파주시 와동동 1304-1),경기도,"매월2, 4주 수요일",0:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 파주시 미래로602번길 10 3F(파주시 와동동 1304-1),경기도 파주시 와동동 1304-1번지 3F,한국전기차충전서비스,,37.731047,126.752324,2017-11-30
파주시청광장 주차장,경기도 파주시 시청로 50  파주시청 주차빌딩 잎구 앞,경기도,없음,0:00,23:59,N,Y,DC차데모+AC3상+DC콤보,1,1,N,경기도 파주시 시청로 50  파주시청 주차빌딩 잎구 앞,경기도 파주시 아동동 215-1번지 파주시청 주차빌딩 잎구 앞,환경부(한국자동차환경협회),,37.759473,126.779889,2017-11-30
파주시 이마트(파주점),경기도 파주시 당하길 10  본관3층 A구역,경기도,"매월2, 4주 수요일",0:00,23:59,Y,N,AC완속,1,0,N,경기도 파주시 당하길 10  본관3층 A구역,경기도 파주시 당하동 195-5번지 본관3층 A구역,포스코ICT,,37.746963,126.751036,2017-11-30
파주시 이마트(파주운정점),경기도 파주시 한울로 123  본관4층 A구역,경기도,"매월2, 4주 수요일",10:00,23:00,Y,N,AC완속,2,0,N,경기도 파주시 한울로 123  본관4층 A구역,경기도 파주시 동패동 1763번지 본관4층 A구역,포스코ICT,,37.710391,126.745083,2017-11-30
파주시 파주신세계아울렛,경기도 파주시 탄현면 필승로 200  B동 주차장 1층 주차램프,경기도,"설날, 추석 당일",10:00,22:00,Y,N,AC완속,3,0,N,경기도 파주시 탄현면 필승로 200  B동 주차장 1층 주차램프,경기도 파주시 탄현면 법흥리 1790-8번지 B동 주차장 1층 주차램프,포스코ICT,,37.769059,126.696479,2017-11-30
파주시 홈플러스(파주운정점),경기도 파주시 청암로17번길 17 주차장 B2층,경기도,"매월2, 4주 수요일",10:00,23:59,Y,N,AC완속,6,0,N,경기도 파주시 청암로17번길 17 주차장 B2층,경기도 파주시 목동동 927번지 주차장 B2층,포스코ICT,,37.729288,126.735201,2017-11-30
LG베스트샵 오산점,경기도 오산시 원동로 30-4,경기도,연중무휴,0:00,0:00,Y,N,해당없음,1,0,N,경기도 오산시 원동로 30-4,경기도 오산시 원동 335-6,포스코ICT,1600-3817,37.141961,127.079071,2017-11-30
동부보건소,주차장,제주특별자치도,연중무휴,0:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 남원읍 태위로 527,,,,33.2757617,126.7034172,2017-04-29
여주시청충전소,외부 주차장,경기도,연중무휴,0:00,24:00:00,Y,N,,1,0,Y,경기도 여주시 여흥로 148,경기도 여주시 상동 285-2번지,경기도 여주시 여흥주민센터,031-887-2975,37.294517,127.640451,2017-11-20
여주시청충전소,외부 주차장,경기도,연중무휴,0:00,24:00:00,Y,N,,1,0,Y,경기도 여주시 여흥로11번길 26,경기도 여주시 하동 134-11번지,경기도 여주시 중앙주민센터,031-887-2975,37.398653,127.628955,2017-11-20
여주시청충전소,외부 주차장,경기도,연중무휴,0:00,24:00:00,Y,N,,1,0,Y,경기도 여주시 여양로 313,경기도 여주시 오학동 254-1번지,경기도 여주시 오학주민센터,031-887-2975,37.309811,127.644467,2017-11-20
여주시보건소충전소,외부 주차장,경기도,연중무휴,0:00,24:00:00,N,Y,AC3상+DC차데모+DC콤보,0,1,N,경기도 여주시 여흥로160번길 14,경기도 여주시 상동 357번지,경기도 여주시 보건소,031-887-2975,37.2946482,127.6398966,2017-11-20
가남읍사무소충전소,외부 주차장,경기도,연중무휴,0:00,24:00:00,Y,N,,1,0,N,경기도 여주시 가남읍 태평중앙1길 20,경기도 여주시 가남읍 태평리 138-8번지,경기도 여주시 가남읍사무소,031-887-2975,37.2017749,127.5451143,2017-11-20
한글시장주차장충전소,한글시장주차장,경기도,연중무휴,0:00,24:00:00,Y,N,,1,0,Y,경기도 여주시 창동 30-10,경기도 여주시 창동 30-10,경기도 여주시 한글시장 주차장,031-887-2975,37.2973068,127.6355546,2017-11-20
여주시청충전소,외부 주차장,경기도,연중무휴,0:00,24:00:00,Y,N,,0,1,N,경기도 여주시 세종로 1,경기도 여주시 홍문동 4번지,경기도 여주시청,031-887-2975,37.298342,127.637082,2017-11-20
창동주차장충전소,창동공영주차장,경기도,연중무휴,0:00,24:00:00,Y,N,,1,0,Y,경기도 여주시 세종로40번길 25,경기도 여주시 창동 138-7번지,경기도 여주시 창동 공영주차장,031-887-2975,37.2952673,127.6336498,2017-11-20
법성굴비타운주차장,굴비타운,전라남도,무,0:00,23:59,Y,N,,1,,N,전라남도 영광군 법성면 법성포로,전라남도 영광군 법성면 법성리,영광군,061-350-5698,35.361923,126.443651,2017-12-21
영광군청광장,영광군청,전라남도,무,0:00,23:59,Y,Y,단선형,3,1,N,전라남도 영광군 영광읍 중앙로 203,전라남도 영광군 영광읍 무령리 198-4,한국환경공단,,35.277212,126.512014,2017-12-21
영광군청 제1주차장,환경산림과 주차장,전라남도,무,0:00,23:59,Y,N,,3,0,N,전라남도 영광군 영광읍 중앙로 203,전라남도 영광군 영광읍 무령리 198-4,한국환경공단,,35.276821,126.511851,2017-12-21
해군호텔,주차장,제주특별자치도,연중무휴,0:00,23:59,N,Y,,,,N,제주특별자치도 제주시 해안마을서2길 19,,,,33.459033,126.448717,2017-04-29
이마트 오산점,경기도 오산시 경기대로181,경기도,연중무휴,10:00,23:00,Y,N,해당없음,1,0,N,경기도 오산시 경기대로181,경기도 오산시 원동 360-6,포스코ICT,1600-3817,37.140621,127.072881,2017-11-30
외삼미동 전기차 충전소,경기도 오산시 외삼미로 152번길 57-29,경기도,연중무휴,0:00,0:00,Y,N,해당없음,2,0,N,경기도 오산시 외삼미로 152번길 57-29,경기도 오산시 외삼미동 119-12,포스코ICT,1600-3817,37.195751,127.065521,2017-11-30
한국전력 오산지사,경기도 오산시 남부대로 334 지사 정문 주차장,경기도,연중무휴,6:00,23:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 오산시 남부대로 334 지사 정문 주차장,경기도 오산시 원동 806,한국전력공사,1899-2100,37.135483,127.072486,2017-11-30
이마트광명소하점,지상6층주차장내,경기도,"매월2, 4째주 일요일",10:00,24:00:00,Y,N,,2,,N,경기도 광명시 소하로 97,경기도 광명시 소하동 1339-3,포스코 ICT/BMW,031-961-1945,37.6320827,127.205722,2017-01-01
증평인삼관광휴게소,충청북도 증평군 증평읍 중부로2451,충청북도,무휴,0:00,24:00:00,N,Y,"DC차데모, AC3상, DC콤보",0,1,N,충청북도 증평군 증평읍 중부로 2451,충청북도 증평군 증평읍 송산리 94-1,한국자동차환경협회,1661-9408,36.795751,127.581683,2017-11-17
울산시청,울산광역시청 서쪽 주차장,울산광역시,연중무휴,0:00,24:00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,울산광역시 남구 중앙로 201,울산광역시 남구 신정동 646-4,한국자동차환경협회,1661-9408,35.5386989,129.3114902,2017-11-30
아산시청,아산시청 주차장,충청남도,연중무휴,0:00,24:00:00,N,Y,DC차데모+AC3상+DC콤보,,1,N,충청남도 아산시 시민로 456,충청남도 아산시 온천동 1626,한국자동차환경협회,1661-9408,36.78974,127.001359,2017-11-20
아산시청,아산시청 주차장,충청남도,연중무휴,0:00,24:00:00,Y,N,KL10-DS2K,3,,N,충청남도 아산시 시민로 456,충청남도 아산시 온천동 1626,지엔텔컨소시엄,1544-4279,36.790482,127.004203,2017-11-20
강릉시청,강릉시청 제2민원주차장,강원도,연중무휴,0:00,23:00,N,Y,DC차데모+AC3상+DC콤보,3,1,N,강원도 강릉시 강릉대로 33(홍제동),강원도 강릉시 홍제동 1001,한국환경공단,070-8270-6514,37.751974,128.87583,2017-12-12
강릉녹색도시 체험센터(e-zen),이젠센터 주차장,강원도,연중무휴,9:00,18:00,Y,Y,DC차데모+AC3상+DC콤보,2,2,N,강원도 강릉시 난설헌로 131(초당동),강원도 강릉시 초당동 532-2,한전강릉지사,033-650-1211,37.763489,128.900859,2017-12-12
강릉시 종합경기장,강릉시 종합경기장(외7문),강원도,연중무휴,0:00,23:00,N,Y,DC차데모+DC콤보,0,1,N,강원도 강릉시 종합운동장길 84(교동),강원도 강릉시 교동 408,한국환경공단,070-8270-6514,37.77322,128.897323,2017-12-12
SK아트리움,지상1층 귀빈주차장,경기도,N,0:00,24:00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,경기도 수원시 장안구 이목로24-25,경기도 수원시 장안구 정자동 947 수원SK아트리움,수원시청,031-228-3239,37.3092808,126.9865719,2017-03-30
화서역환승주차장,지상1층 공중화장실쪽,경기도,N,0:00,24:00:00,N,Y,DC차데모+AC3상+DC콤보,0,2,Y,경기도 수원시 팔달구 덕영대로 691-13(화서동),경기도 수원시 팔달구 화서동 643,한국전력공사,1661-9408,37.2855407,126.9903786,2017-03-30
이마트 서수원점,지하1층 C12구역,경기도,"매월2,4주일요일",10:00,24:00:00,N,Y,DC차데모+AC3상,0,1,N,경기도 수원시 권선구 수인로 291,경기도 수원시 권선구 서둔동 925,한국자동차환경협회,1661-9408,37.2826287,126.9701447,2017-03-30
홈플러스 동수원점,지하1층 A01구역,경기도,"매월2,4주일요일",10:00,24:00:00,N,Y,DC차데모+AC3상,0,1,N,경기도 수원시 팔달구 효원로257,경기도 수원시 팔달구 인계동1045,한국자동차환경협회,1661-9408,37.2627661,127.0301315,2017-03-30
롯데마트 영통점,지하5층 503구역,경기도,"매월2,4주일요일",0:00,24:00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 수원시 영통구 봉영로 1579,경기도 수원시 영통구 영통동 960-1,한국자동차환경협회,1661-9408,37.2526819,127.071581,2017-03-30
장안구청,지하1층 A01구역,경기도,N,0:00,24:00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,경기도 수원시 장안구 송원로 101(조원동),경기도 수원시 장안구 조원동 888,한국자동차환경협회,1661-9408,37.303756,127.0100884,2017-03-30
수원화성박물관(팔달구청),지상1층 출입구 우측,경기도,N,0:00,24:00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,경기도 수원시 팔달구 창룡대로 21(매향동),경기도 수원시 팔달구 매향동 49 수원화성박물관,한국자동차환경협회,1661-9408,37.2825949,127.0193502,2017-03-30
권선구청,지상1층,경기도,N,0:00,24:00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,경기도 수원시 권선구 호매실로 12(탑동),경기도 수원시 권선구 탑동 900(권선구청),수원시청,031-228-3239,37.2572992,126.9721612,2017-03-30
영통구청,지상1층 공용차주차장,경기도,N,0:00,24:00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,경기도 수원시 영통구 효원로 407(매탄동),경기도 수원시 영통구 매탄동 1268 영통구청,수원시청,031-228-3239,37.2592071,127.0465975,2017-03-30
광교호수 행복한들주차장,지상1층,경기도,N,0:00,24:00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,,경기도 수원시 영통구 하동 1026-1,수원시청,031-228-3239,37.2820569,127.0697595,2017-03-30
수원시청,지상1층 전광판밑,경기도,N,0:00,24:00:00,N,Y,DC차데모+AC3상+DC콤보,0,2,Y,경기도 수원시 팔달구 효원로 241(인계동),경기도 수원시 팔달구 인계동 1111 수원시청,한국전력공사,1661-9408,37.2634477,127.0286437,2017-03-30
영화동공영주차장,지상1층,경기도,N,0:00,24:00:00,N,Y,DC차데모+AC3상+DC콤보,0,2,Y,경기도 수원시 장안구 수성로 382번길 24,경기도 수원시 장안구 영화동 250-1 영화동주민센터,한국전력공사,1661-9408,37.2931378,127.0141154,2017-03-30
한국전력공사 경기지역본부,지상1층 2곳,경기도,N,6:00,23:00,N,Y,DC차데모+AC3상+DC콤보,0,2,N,경기도 수원시 팔달구 중부대로 120(인계동),경기도 수원시 팔달구 인계동 203-10 한국전력경기지사,한국전력공사,1661-9408,37.2774785,127.0294789,2017-03-30
한국전력공사 서수원지사,지상1층,경기도,N,6:00,23:00,N,Y,DC차데모+AC3상+DC콤보,0,2,N,경기도 수원시 권선구 호매실로 46-82(탑동),경기도 수원시 권선구 탑동 908,한국전력공사,1661-9408,37.2581454,126.9691985,2017-03-30
영통공영주차장,지하2층 입구쪽,경기도,N,0:00,24:00:00,N,Y,DC차데모+AC3상+DC콤보,0,2,Y,경기도 수원시 영통구 봉영로 1598,경기도 수원시 영통구 영통동 995-3,한국전력공사,1661-9408,37.2533328,127.0739442,2017-03-30
경안동 공영주차장,주차장 1층 안쪽,경기도,연중무휴,0:00,0:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,"경기도 광주시 경안로 13-6, 주차장 1층 안쪽","경기도 광주시 경안동 30-6, 주차장 1층 안쪽",한국자동차환경협회,02-1661-9408,37.409412,127.259038,2017-10-30
이마트 경기광주점,지하2층 주차장,경기도,"매월2,4주일요일",10:00,0:00,Y,N,AC완속,1,0,Y,경기도 광주시 광주대로 30,경기도 광주시 경안동 25-3,포스코ICT,031-723-2222,37.409535,127.261216,2017-10-30
경안시장 공영주차장,1층 화장실 옆,경기도,연중무휴,0:00,0:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,경기도 광주시 중앙로 103-5 1층,경기도 광주시 경안동 33-37,한국자동차환경협회,02-1661-9408,37.408801,127.257701,2017-10-30
광주시 GRAMMAR 커피숍,실외주차장,경기도,연중무휴,0:00,0:00,Y,N,AC완속,1,0,N,경기도 광주시 도척면 도척윗로 234 실외주차장,경기도 광주시 도척면 궁평리 576-1,포스코ICT,1600-4047,37.335401,127.316701,2017-10-30
평촌지하주차장,지하2층(주차구획 99번),경기도,-,0:00,24:00:00,Y,N,AC완속,2,0,Y,경기도 안양시 동안구 시민대로 238,경기도 안양시 동안구 관양동 1591-5,한국자동차충전서비스,1522-1782,37.3921972,126.9579826,2017-11-23
제주시농협 하나로마트,주차장,제주특별자치도,연중무휴,0:00,23:59,Y,Y,,,,N,제주특별자치도 제주시 남광로 206,,,,33.503736,126.552946,2017-04-29
홈플러스테스코,내부 주차장,경기도,"매월 2,4주 수요일",0:00,24:00:00,N,Y,AC3상+DC차데모,0,1,Y,경기도 안양시 동안구 엘에스로 92,경기도 안양시 동안구 호계동 555-9,한국자동차환경협회,1661-9408,37.3716052,126.9521138,2017-11-23
만안구청,지상 주차장,경기도,-,0:00,24:00:00,N,Y,AC3상+DC차데모+DC콤보,0,1,N,경기도 안양시 만안구 안양로 128,경기도 안양시 만안구 안양동 530,한국자동차환경협회,1661-9408,37.3864723,126.9324215,2017-11-23
관악역3환승공영주차장,입구 맨끝 왼쪽,경기도,-,0:00,24:00:00,N,Y,AC3상+DC차데모+DC콤보,0,1,Y,경기도 안양시 만안구 경수대로1273번길 49,경기도 안양시 만안구 석수동 110-26,한국자동차환경협회,1661-9408,37.4186319,126.910092,2017-11-23
안양시청,지상 주차장,경기도,-,0:00,24:00:00,N,Y,AC3상+DC차데모+DC콤보,0,1,Y,경기도 안양시 동안구 시민대로 235,경기도 안양시 동안구 관양동 1590,한국자동차환경협회,1661-9408,37.3940799,126.9569764,2017-11-23
연천군 급속충전소,연천군청 내부 주차장,경기도,연중무휴,0:00,24:00:00,N,Y,AC3상+DC차데모,0,1,N,경기도 연천군 연천읍 연천로 220,경기도 연천군 연천읍 차탄리 290-1 연천군청,한국환경공단,032-590-5108,38.0964494,127.0726556,2017-04-01
단양군청,외부주차장,충청북도,연중무휴,0:00,0:00,Y,N,,1,0,N,충청북도 단양군 단양읍 중앙1로 10,충청북도 단양군 단양읍 별곡리 300,충청북도 단양군청,043-420-2652,36.984539,128.365589,2017-11-20
단양관광안내소,외부주차장,충청북도,연중무휴,0:00,0:00,N,Y,1,0,1,N,충청북도 단양군 단양읍 다리안로 43,충청북도 단양군 단양읍 고수리 136-1,자동차환경협회,1661-9048,36.986653,128.375886,2017-11-20
진량읍사무소,경상북도 경산시 진량읍 다문로 50 진량읍사무소주차장,경상북도,연중무휴,0:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경상북도 경산시 진량읍 다문로 50,경상북도 경산시 진량읍 신상리 685-22,한국자동차환경협회,1661-9408,35.8739904,128.8162125,2017-11-28
경산휴게소(서울방향),경상북도 경산시 진량읍 대학로 1089 고분군 입구 우측 옥외 주차장,경상북도,연중무휴,0:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경상북도 경산시 진량읍 대학로 1089,경상북도 경산시 진량읍 신상리 968-1,한국자동차환경협회,1661-9408,35.878209,128.8074704,2017-11-28
평사휴게소(부산방향),경상북도 경산시 진량읍 경부고속도로 105 휴게소 정면 우측 현수막 걸이대 앞 옥외 주차장,경상북도,연중무휴,0:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경상북도 경산시 진량읍 경부고속도로 105,경상북도 경산시 진량읍 평사리 171-2,한국자동차환경협회,1661-9408,35.8850775,128.8673151,2017-11-28
고양시청,주차장 입구 전 우측,경기도,연중무휴,0:00,0:00,N,Y,듀얼타입,0,1,N,경기도 고양시 덕양구 고양시청로 10,경기도 고양시 덕양구 주교동 600,한국자동차환경협회,1661-9408,37.658415,126.831961,2017-11-22
일산동구청,주차장 좌측,경기도,연중무휴,0:00,0:00,N,Y,듀얼타입,0,1,N,경기도 고양시 일산동구 중앙로 1256,경기도 고양시 일산동구 마두동 815,한국자동차환경협회,1661-9408,37.658575,126.766159,2017-11-22
롯데마트 주엽점,지하주차장 2층 210구역,경기도,연중무휴,0:00,0:00,N,Y,듀얼타입,0,1,N,경기도 고양시 일산서구 중앙로 1496,경기도 고양시 일산서구 주엽동 15,한국자동차환경협회,1661-9408,37.673261,126.755312,2017-11-22
롯데마트 고양점,지상주차장 4층 422구역,경기도,연중무휴,0:00,0:00,N,Y,듀얼타입,0,1,N,경기도 고양시 덕양구 충장로 150,경기도 고양시 덕양구 행신동 941,한국자동차환경협회,1661-9408,37.625223,126.836162,2017-11-22
고양종합운동장 부설주차장,대형주차장 왼쪽도로변,경기도,연중무휴,0:00,0:00,N,Y,듀얼타입,0,1,N,경기도 고양시 일산서구 중앙로 1601,경기도 고양시 일산서구 대화동 2320,한국자동차환경협회,1661-9409,37.675212,126.740691,2017-11-22
한국전력공사 고양지사,1층주차장,경기도,연중무휴,0:00,0:00,Y,Y,듀얼타입,7,2,N,경기도 고양시 일산동구 장백로 39,경기도 고양시 일산동구 백석동 1310,한국전력공사,1661-9408,37.641491,126.787892,2017-11-22
롯데마트 화정점,2층주차장 입구 정면,경기도,연중무휴,0:00,0:00,N,Y,듀얼타입,0,1,N,경기도 고양시 덕양구 화중로 66,경기도 고양시 덕양구 화정동 982,한국자동차환경협회,1661-9408,37.633033,126.831033,2017-11-22
덕양구청 주차장,입구 좌측,경기도,연중무휴,0:00,0:00,N,Y,듀얼타입,0,1,N,경기도 고양시 덕양구 화중로 104번길 13,경기도 고양시 덕양구 화정동 955,한국자동차환경협회,1661-9409,37.636592,126.831962,2017-11-22
고양시 이마트(덕이점),본관2층 C6구역,경기도,연중무휴,0:00,0:00,Y,N,듀얼타입,2,0,N,경기도 고양시 일산서구 경의로 798,경기도 고양시 일산서구 덕이동 205,포스코ICT,1600-4047,37.688252,126.760282,2017-11-22
고양시 이마트(화정점),본관4층 1구역,경기도,연중무휴,0:00,0:00,Y,N,듀얼타입,2,0,N,경기도 고양시 덕양구 백양로 79,경기도 고양시 덕양구 화정동 976,포스코ICT,1600-4047,37.632612,126.833073,2017-11-22
고양시 이마트(타운킨텍스점),지하2층,경기도,연중무휴,0:00,0:00,Y,N,듀얼타입,5,0,N,경기도 고양시 일산서구 킨텍스로 171,경기도 고양시 일산서구 대화동 2703,포스코ICT,1600-4047,37.661063,126.743822,2017-11-22
고양시 원마운트,1주차장 입구,경기도,연중무휴,0:00,0:00,Y,N,듀얼타입,3,0,N,경기도 고양시 일산서구 한류월드로 300,경기도 고양시 일산서구 대화동 2606,포스코ICT,1600-4047,37.664352,126.753831,2017-11-22
고양시 이마트(일산점),본관B2층 G6구역,경기도,연중무휴,0:00,0:00,Y,N,듀얼타입,2,0,N,경기도 고양시 일산동구 중앙로 1124,경기도 고양시 일산동구 백석동 1194,포스코ICT,1600-4047,37.648251,126.781751,2017-11-22
고양시 이마트(풍산점),본관6층 A구역,경기도,연중무휴,0:00,0:00,Y,N,듀얼타입,1,0,N,경기도 고양시 일산동구 무궁화로 237,경기도 고양시 일산동구 중산동 1809,포스코ICT,1600-4047,37.673641,126.786831,2017-11-22
경남도청,외부주차장,경상남도,연중무휴,0:00,24:00:00,N,Y,멀티(차데모+AC3+콤보),0,1,N,경상남도 창원시 의창구 중앙대로 300 경남도청,"경상남도 창원시 의창구 사림동 1, 경남도청",한국자동차환경협회,1661-9408,35.236855,128.690375,2017-12-10
동읍사무소,외부주차장,경상남도,연중무휴,0:00,24:00:00,N,Y,멀티(차데모+AC3+콤보),0,1,N,"경상남도 창원시 의창구 동읍 동읍로 88, 동읍사무소","경상남도 창원시 의창구 동읍 용잠리 575, 동읍사무소",한국자동차환경협회,1661-9408,35.284601,128.682762,2017-12-10
마금산온천 공영주차장,외부주차장,경상남도,연중무휴,0:00,24:00:00,N,Y,현대기아+르노삼성+한국닛산,0,1,N,경상남도 창원시 의창구 북면 천주로1170번길 24,경상남도 창원시 의창구 북면 신촌리 1462-1,한국자동차환경협회,1661-9408,35.353618,128.611368,2017-12-10
성주동주민센터,외부주차장,경상남도,연중무휴,0:00,24:00:00,N,Y,멀티(차데모+AC3+콤보),0,1,N,"경상남도 창원시 성산구 공단로 735, 성주동주민센터","경상남도 창원시 성산구 성주동 59, 성주동주민센터",한국자동차환경협회,1661-9408,35.189974,128.695011,2017-12-10
이마트 창원점,내부3층 주차장,경상남도,"매월2,4주일요일",10:00,24:00:00,N,Y,멀티(차데모+AC3+콤보),0,1,N,"경상남도 창원시 성산구 원이대로 608, 이마트창원점","경상남도 창원시 성산구  중앙동 91, 이마트창원점",한국자동차환경협회,1661-9408,35.226848,128.68017,2017-12-10
진동면사무소,외부주차장,경상남도,연중무휴,0:00,24:00:00,N,Y,멀티(차데모+AC3+콤보),0,1,N,"경상남도 창원시 마산합포구 진동면 신서촌로 11, 진동면사무소","경상남도 창원시 마산합포구 진동면 진동리 855-2, 진동면사무소",한국자동차환경협회,1661-9408,35.115924,128.484648,2017-12-10
구산면사무소,외부주차장,경상남도,연중무휴,0:00,24:00:00,N,Y,차데모,0,1,N,"경상남도 창원시 마산합포구 구산면 구산로 554, 구산면사무소","경상남도 창원시 마산합포구 구산면 수정리 654-3, 구산면사무소",한국자동차환경협회,1661-9408,35.119704,128.580581,2017-12-10
불갑저수지수변공원 주차장,불갑저수지,전라남도,무,0:00,23:59,Y,Y,단선형,1,1,N,전라남도 영광군 불갑면 방마로 151,전라남도 영광군 군서면  방마리 산42-5,한국환경공단,,35.221212,126.513734,2017-12-21
법성숲쟁이꽃동산 주차장,숲쟁이공원,전라남도,무,0:00,23:59,Y,N,,1,0,N,,전라남도 영광군 법성면  진내리 114,한국환경공단,,35.364407,126.435273,2017-12-21
대마산단 주차장,대마산단,전라남도,무,0:00,23:59,Y,Y,멀티형,3,1,N,,전라남도 영광군 대마면  송죽리 1042-1,한국환경공단,,35.281559,126.577562,2017-12-21
법성면사무소,법성면,전라남도,무,0:00,23:59,Y,Y,멀티형,1,1,N,전라남도 영광군 법성면 진굴비길 68-1,전라남도 영광군 법성면  법성리 631,한국환경공단,,35.362057,126.445988,2017-12-21
노을전시관 앞,백수해안도로,전라남도,무,0:00,23:59,N,Y,멀티형,0,1,N,전라남도 영광군 백수읍 해안로 957,전라남도 영광군 백수읍  대신리,한국환경공단,,35.353739,126.389268,2017-12-21
영광예술의 전당,예술의전당,전라남도,무,0:00,23:59,Y,Y,멀티형,3,1,N,전라남도 영광군 영광읍 천년로13길 2-34,전라남도 영광군 영광읍 남천리 76,한국환경공단,,35.272633,126.508403,2017-12-21
영광스포티움 주차장,영광스포티움,전라남도,무,0:00,23:59,Y,N,,3,,N,전라남도 영광군 영광읍 월현로 170,전라남도 영광군 영광읍 단주리666,영광군,061-350-5698,35.288316,126.494351,2017-12-21
보건소,보건소,전라남도,무,0:00,23:59,Y,N,,1,,N,전라남도 영광군 영광읍 신남로4길 17,전라남도 영광군 영광읍 남천리 326-5,영광군,061-350-5698,35.274562,126.504077,2017-12-21
농기계임대사업소,농업기술센터,전라남도,무,0:00,23:59,Y,N,,1,,N,전라남도 영광군 군서면 백수로 1481,전라남도 영광군 전라남도 영광군 군서면   만곡리 95-50,영광군,061-350-5698,35.284741,126.473161,2017-12-21
상하수도 사업소,항하수도사업소,전라남도,무,0:00,23:59,Y,N,,1,,N,전라남도 영광군 영광읍 와룡로 396,전라남도 영광군 영광읍 양평리 522-2,영광군,061-350-5698,35.314958,126.506512,2017-12-21
영광읍사무소,영광읍,전라남도,무,0:00,23:59,Y,N,,1,,N,전라남도 영광군 영광읍 물무로2길 61,전라남도 영광군 영광읍 무령리 198-3,영광군,061-350-5698,35.277982,126.511817,2017-12-21
백수읍사무소,백수읍,전라남도,무,0:00,23:59,Y,N,,1,,N,전라남도 영광군 영광읍 물무로2길 61,전라남도 영광군 전라남도 영광군 백수읍     천마리614,영광군,061-350-5698,35.283261,126.420785,2017-12-21
홍농읍사무소,홍농읍,전라남도,무,0:00,23:59,Y,N,,1,,N,전라남도 영광군 홍농읍 상하길 43,전라남도 영광군 전라남도 영광군 홍농읍     상하리 267,영광군,061-350-5698,35.395774,126.445351,2017-12-21
대마면사무소,대마면,전라남도,무,0:00,23:59,Y,N,,1,,N,전라남도 영광군 대마면 영장로 241,전라남도 영광군 전라남도 영광군 대마면   영장로 241,영광군,061-350-5698,35.301452,126.577507,2017-12-21
